what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333495622343
java.version,sysinfo,,,"1.6.0_29",1333495622343
java.vm.info,sysinfo,,,"mixed mode, sharing",1333495622343
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333495622343
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333495622343
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333495622343
java.vm.specification.version,sysinfo,,,"1.0",1333495622343
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333495622343
java.vm.version,sysinfo,,,"20.4-b02",1333495622343
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1333495622347
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1333495623240
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1333495634447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333495638765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333495681271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1333495681304
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1333495686080
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333495686090
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.openProject",1333495688633
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1333495688824
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1333495688830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333495717078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333496178135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333496179709
